吖啶,ading
伯恩利足球俱乐部,boenlizuqiujulebu
伯恩州,boenzhou
伯尔尼,boerni
伯父,bofu
伯昏,bohun
伯爵,bojue
伯爵夫人,bojuefuren
伯克利,bokeli
伯克利县,bokelixian
伯拉第斯拉瓦,boladisilawa
伯拉孟特,bolamengte
伯劳,bolao
伯劳科,bolaoke
伯劳鸟,bolaoniao
伯里布森,bolibusen
伯里克利,bolikeli
伯力,boli
伯利恒,boliheng
伯利恒的教堂,bolihengdejiaotang
伯利兹,bolizi
伯灵顿,bolingdun
伯罗奔尼撒,boluobennisa
伯罗奔尼撒战争,boluobennisazhanzheng
伯明翰,bominghan
伯明翰大学,bominghandaxue
伯明翰市,bominghanshi
伯明翰足球俱乐部,bominghanzuqiujulebu
伯母,bomu
伯纳德劳蒙哥马利,bonadelaomenggemali
伯纳乌球场,bonawuqiuchang
伯南布哥,bonanbuge
伯努利不等式,bonulibudengshi
伯努利定律,bonulidinglv
伯努利分布,bonulifenbu
伯努利家族,bonulijiazu
伯努利试验,bonulishiyan
伯努利数,bonulishu
伯耆国,boqiguo
伯特兰罗素,botelanluosu
伯特利,boteli
伯提霍特,botihuote
伯提霍特,botihuote
伯希和,boxihe
伯仲叔季,bozhongshuji
勃,bo
勃勃,bobo
勃发,bofa
勃艮第,bogendi
勃艮第的亨利,bogendidehengli
勃艮第公国,bogendigongguo
勃艮第人,bogendiren
勃拉姆斯,bolamusi
勃兰登堡,bolandengbao
勃兰登堡门,bolandengbaomen
勃兰登堡协奏曲,bolandengbaoxiezouqu
勃兰登堡州,bolandengbaozhou
勃兰特,bolante
勃朗峰,bolangfeng
勃朗宁自动步枪,bolangningzidongbuqiang
勃朗特,bolangte
勃劳恩,bolaoen
勃利,boli
勃列日涅夫,bolieriniefu
勃列日涅夫主义,bolieriniefuzhuyi
勃起,boqi
勃起功能障碍,boqigongnengzhangai
勃然,boran
勃然大怒,borandanu
博,bo
博爱,boai
博爱的人,boaideren
博爱主义者,boaizhuyizhe
博白,bobai
博比查尔顿,bobichaerdun
博彩,bocai
博出位,bochuwei
博茨瓦纳,bociwana
博茨瓦那,bociwana
博茨瓦纳共和国,bociwanagongheguo
博大,boda
博大精深,bodajingshen
博导,bodao
博得,bode
博德,bode
博德利图书馆,bodelitushuguan
博德之门系列,bodezhimenxilie
博登湖,bodenghu
博尔顿足球俱乐部,boerdunzuqiujulebu
博尔赫斯,boerhesi
博尔塔拉,boertala
博古,bogu
博湖,bohu
博杰普尔语,bojiepueryu
博剧院,bojuyuan
博科尼大学,bokenidaxue
博克,boke
博客,boke
博克施道夫战役,bokeshidaofuzhanyi
博览会,bolanhui
博览会所在地,bolanhuisuozaidi
博览会展览厅,bolanhuizhanlanting
博览会咨询,bolanhuizixun
博乐,bole
博罗,boluo
博罗夫斯基,boluofusiji
博洛尼亚,boluoniya
博马舍,bomashe
博美犬,bomeiquan
博诺,bonuo
博帕尔,bopaer
博帕尔事件,bopaershijian
博取,boqu
博让西,borangxi
博赛纳湖,bosainahu
博山区,boshanqu
博世,boshi
博士,boshi
博士导师,boshidaoshi
博士后,boshihou
博士伦,boshilun
博士论文,boshilunwen
博士生,boshisheng
博士生导师,boshishengdaoshi
博士学位,boshixuewei
博士预备班,boshiyubeiban
博斯曼法案,bosimanfaan
博斯普鲁斯海峡,bosipulusihaixia
博斯腾湖,bositenghu
博韦,bowei
博维斯塔,boweisita
博物,bowu
博物馆,bowuguan
博物馆学,bowuguanxue
博西家用电器公司,boxijiayongdianqigongsi
博希蒙德一世,boximengdeyishi
博兴,boxing
博学,boxue
博学的人,boxuederen
博学多闻者,boxueduowenzhe
博学之士,boxuezhishi
博涯监狱,boyajianyu
博雅,boya
博雅教育,boyajiaoyu
博野,boye
博伊西,boyixi
博弈,boyi
博义八世,boyibashi
博弈论,boyilun
博义三世,boyisanshi
博弈语义,boyiyuyi
帛,bo
帛琉,boliu
搏,bo
搏动,bodong
搏斗,bodou
柏,bo
柏柏尔人,boboerren
柏哥利亚湖,bogeliyahu
柏侯,bohou
柏卡殊,bokashu
柏克莱,bokelai
柏克莱加州大学,bokelaijiazhoudaxue
柏拉图,bolatu
柏拉图式恋爱,bolatushilianai
柏拉图主义,bolatuzhuyi
柏雷素尔,boleisuer
柏林,bolin
柏林爱乐管弦乐团,bolinaileguanxianletuan
柏林爱乐乐团,bolinaileletuan
柏林苍穹下,bolincangqiongxia
柏林大教堂,bolindajiaotang
柏林电影节,bolindianyingjie
柏林封锁,bolinfengsuo
柏林工业大学,bolingongyedaxue
柏林国家图书馆,bolinguojiatushuguan
柏林洪堡大学,bolinhongbaodaxue
柏林人,bolinren
柏林肉饼,bolinroubing
柏林时间,bolinshijian
柏林市民,bolinshimin
柏林条约,bolintiaoyue
柏林围墙,bolinweiqiang
柏林西非会议,bolinxifeihuiyi
柏林犹太博物馆,bolinyoutaibowuguan
柏林战役,bolinzhanyi
柏林中央车站,bolinzhongyangchezhan
柏林自由大学,bolinziyoudaxue
柏崎市,boqishi
柏氏中喙鲸,boshizhonghuijing
柏树,boshu
柏天尼,botianni
柏图,botu
柏杨,boyang
柏油,boyou
柏油路,boyoulu
桲,bo
泊,bo
泊车,boche
泊松,bosong
泊松分布,bosongfenbu
泊松过程,bosongguocheng
泊松括号,bosongkuohao
泊位,bowei
浡,bo
渤海,bohai
渤海国,bohaiguo
百色,bose
百色地区,bosediqu
百色市,boseshi
礴,bo
箔,bo
箔片,bopian
脖,bo
脖颈儿,bogenger
脖子,bozi
膊,bo
舶,bo
舶来品,bolaipin
薄,bo
薄板,boban
薄板层析,bobancengxi
薄壁组织,bobizuzhi
薄冰,bobing
薄冰层,bobingceng
薄薄地,bobode
薄层,boceng
薄绸,bochou
薄伽梵歌,bogafange
薄煎饼,bojianbing
薄金属片,bojinshupian
薄酒莱葡萄酒,bojiulaiputaojiu
薄烤饼,bokaobing
薄礼,boli
薄利,boli
薄明,boming
薄膜,bomo
薄暮,bomu
薄皮,bopi
薄片,bopian
薄伽丘,boqieqiu
薄情,boqing
薄弱,boruo
薄纱,bosha
薄田兼相,botianjianxiang
薄雾,bowu
薄熙来,boxilai
薄野,boye
薄一波,boyibo
薄衣料,boyiliao
薄纸,bozhi
薄紫色,bozise
襏,bo
襮,bo
踣,bo
鋍,bo
钹,bo
铂,bo
驳,bo
驳岸,boan
驳斥,bochi
驳船,bochuan
驳倒,bodao
驳回,bohui
驳回起诉,bohuiqisu
驳运,boyun
驳杂,boza
驳住,bozhu
驳,bo
髆,bo
鹁鸽,boge
簸,bo
簸荡,bodang
跛,bo
跛行,boxing
跛子,bozi
跛足,bozu
亳州,bozhou
播出,bochu
播放,bofang
播弄,bonong
播送,bosong
播音,boyin
播种,bozhong
播种机,bozhongji
擘,bo
擘画,bohua
柏,bo
癶,bo
簸,bo
簸箕,boji
簸箕,boji
薄,bo
薄荷,bohe
譒,bo
卜,bo
卜丙,bobing
卜密普差,bomipucha
卜,bo
不客气,bukeqi
逋,bu
不必,bubi
不必要,bubiyao
不必要地,bubiyaode
不必要的开支,bubiyaodekaizhi
不错,bucuo
不大可能的事,budakenengdeshi
不定词,budingci
不贵,bugui
不客观,bukeguan
不客气,bukeqi
不料,buliao
不列颠帝国勋章,buliediandiguoxunzhang
不列颠东印度公司,buliediandongyindugongsi
不列颠哥伦比亚,buliediangelunbiya
不列颠空战,buliediankongzhan
不列颠尼亚号,buliedianniyahao
不怕死,bupasi
不怕死的人,bupasideren
不是必要,bushibiyao
不是故意,bushiguyi
不幸的是,buxingdeshi
不幸的象征,buxingdexiangzheng
不幸的原因,buxingdeyuanyin
不要,buyao
不易对待之人,buyiduidaizhiren
不易毁坏,buyihuihuai
不易理解,buyilijie
不易弯曲,buyiwanqu
不易相信,buyixiangxin
不自私,buzisi
不自在地,buzizaide
不自主,buzizhu
卜,bu
卜弥格,bumige
卜筮,bushi
卜威廉,buweilian
哺,bu
哺乳,buru
哺乳动物,burudongwu
哺乳类,burulei
哺养,buyang
哺育,buyu
捕,bu
捕获,buhuo
捕获物,buhuowu
捕机猎师,bujilieshi
捕鲸,bujing
捕鲸船,bujingchuan
捕鲸者,bujingzhe
捕捞,bulao
捕鳗,buman
捕鳗鱼,bumanyu
捕拿,buna
捕拿者,bunazhe
捕鸟蛛科,buniaozhuke
捕人陷阱,burenxianjing
捕杀,busha
捕食,bushi
捕食性,bushixing
捕手,bushou
捕鼠机,bushuji
捕鼠器,bushuqi
捕鼠者,bushuzhe
捕头,butou
捕蝇草,buyingcao
捕蝇器,buyingqi
捕蝇纸,buyingzhi
捕鱼,buyu
捕鱼权,buyuquan
捕鱼税,buyushui
捕鱼业,buyuye
捕捉,buzhuo
补,bu
补白,bubai
补偿,buchang
补偿费,buchangfei
补偿费赔偿费,buchangfeipeichangfei
补偿关税,buchangguanshui
补偿基金,buchangjijin
补偿器,buchangqi
补偿税,buchangshui
补偿性付款,buchangxingfukuan
补偿性支付,buchangxingzhifu
补充,buchong
补充保证金通知,buchongbaozhengjintongzhi
补充编入,buchongbianru
补充部分,buchongbufen
补充规定,buchongguiding
补充剂,buchongji
补充水,buchongshui
补充养老金,buchongyanglaojin
补丁程序,budingchengxu
补丁,buding
补钉,buding
补丁地毯,budingditan
补发,bufa
补付,bufu
补付款,bufukuan
补花,buhua
补给,buji
补给品,bujipin
补给线,bujixian
补剂,buji
补记,buji
补交,bujiao
补交邮资,bujiaoyouzi
补进,bujin
补救,bujiu
补救办法,bujiubanfa
补救措施,bujiucuoshi
补考,bukao
补课,buke
补脉,bumai
补偏救弊,bupianjiubi
补品,bupin
补全,buquan
补入,buru
补色,buse
补身,bushen
补数,bushu
补题,buti
补体,buti
补体系统,butixitong
补贴,butie
补习,buxi
补习班,buxiban
补习课,buxike
补鞋匠,buxiejiang
补选,buxuan
补阳,buyang
补药,buyao
补遗,buyi
补益,buyi
补语,buyu
补整器,buzhengqi
补植,buzhi
补种,buzhong
补助,buzhu
补助定理,buzhudingli
补助费,buzhufei
补助金,buzhujin
补缀,buzhui
补足,buzu
不,bu
不爱国,buaiguo
不爱劳动,buailaodong
不爱说话,buaishuohua
不安,buan
不安地,buande
不安定,buanding
不安静,buanjing
不安宁,buanning
不安全,buanquan
不安全感,buanquangan
不安全性,buanquanxing
不安全性行为,buanquanxingxingwei
不饱和聚脂,bubaohejuzhi
不饱和脂肪酸,bubaohezhifangsuan
不卑不亢,bubeibukang
不备,bubei
不被承认,bubeichengren
不被使用,bubeishiyong
不被征服,bubeizhengfu
不被注意,bubeizhuyi
不比,bubi
不必,bubi
不便,bubian
不变,bubian
不变化,bubianhua
不变价格,bubianjiage
不变式,bubianshi
不变形,bubianxing
不变性,bubianxing
不变性质,bubianxingzhi
不便宜,bubianyi
不变资本,bubianziben
不采纳,bucaina
不参加,bucanjia
不参与,bucanyu
不测,buce
不测的事,bucedeshi
不曾,buceng
不察觉,buchajue
不常,buchang
不长果实,buchangguoshi
不常用,buchangyong
不超过,buchaoguo
不成比例,buchengbili
不承担风险,buchengdanfengxian
不承担义务,buchengdanyiwu
不承担责任,buchengdanzeren
不成功,buchenggong
不成敬意,buchengjingyi
不诚实,buchengshi
不诚实地,buchengshide
不成熟,buchengshu
不成体统,buchengtitong
不成文,buchengwen
不成文法,buchengwenfa
不成问题,buchengwenti
不诚信,buchengxin
不成形,buchengxing
不成样子,buchengyangzi
不逞之徒,buchengzhitu
不称心,buchengxin
不齿,buchi
不啻,buchi
不充分,buchongfen
不充足,buchongzu
不臭,buchou
不出名,buchuming
不出声,buchusheng
不出所料,buchusuoliao
不揣冒昧,buchuaimaomei
不穿衣服,buchuanyifu
不垂直度,buchuizhidu
不纯,buchun
不纯洁,buchunjie
不辞而别,bucierbie
不凑巧,bucouqiao
不存在,bucunzai
不存在之物,bucunzaizhiwu
不答应,budaying
不打支腿,budazhitui
不大,buda
不带电,budaidian
不带感情,budaiganqing
不带火的燃烧,budaihuoderanshao
不丹,budan
不单,budan
不丹国旗,budanguoqi
不丹王国,budanwangguo
不丹语,budanyu
不但,budan
不惮辛劳,budanxinlao
不当,budang
不当得利,budangdeli
不当行为,budangxingwei
不当之词,budangzhici
不当治疗,budangzhiliao
不导电,budaodian
不倒翁,budaoweng
不道德,budaode
不得,bude
不得不,budebu
不得而知,budeerzhi
不得劲,budejin
不得了,budeliao
不得人心,buderenxin
不得体,budeti
不得要领,budeyaoling
不得已,budeyi
不得转让,budezhuanrang
不登大雅之堂,budengdayazhitang
不等,budeng
不等式,budengshi
不的,budi
不抵抗,budikang
不抵抗主义者,budikangzhuyizhe
不第,budi
不凋花,budiaohua
不迭,budie
不定,buding
不定冠词,budingguanci
不定期,budingqi
不定式,budingshi
不定型,budingxing
不定形,budingxing
不定性,budingxing
不懂,budong
不懂世故,budongshigu
不动,budong
不动产,budongchan
不动产交易市场,budongchanjiaoyishichang
不动产经济,budongchanjingji
不动产经纪人,budongchanjingjiren
不动产买卖业务,budongchanmaimaiyewu
不动产投资信托,budongchantouzixintuo
不动产质权,budongchanzhiquan
不动情,budongqing
不动声色,budongshengse
不动摇,budongyao
不独立,buduli
不端,buduan
不端行为,buduanxingwei
不断,buduan
不断的变化,buduandibianhua
不断更新,buduangengxin
不断增加,buduanzengjia
不对,budui
不对称,buduichen
不兑换,buduihuan
不多,buduo
不多产,buduochan
不多于,buduoyu
不发达,bufada
不发火,bufahuo
不法,bufa
不法夺取,bufaduoqu
不法活动,bufahuodong
不法行为,bufaxingwei
不法之徒,bufazhitu
不凡,bufan
不方便,bufangbian
不妨,bufang
不放弃,bufangqi
不放松,bufangsong
不肥沃,bufeiwo
不费劲地,bufeijinde
不分,bufen
不分青红皂白,bufenqinghongzaobai
不分胜负,bufenshengfu
不分轩轾,bufenxuanzhi
不服,bufu
不符,bufu
不服从,bufucong
不符合公认标准,bufuhegongrenbiaozhun
不符合宪法规定,bufuhexianfaguiding
不服输,bufushu
不腐败,bufubai
不付费,bufufei
不复杂,bufuza
不负责,bufuze
不负责任,bufuzeren
不负责任的爸爸,bufuzerendebaba
不该受,bugaishou
不改,bugai
不甘,bugan
不干不净,buganbujing
不干净,buganjing
不甘落后,buganluohou
不敢当,bugandang
不感兴趣,buganxingqu
不高兴,bugaoxing
不高兴地,bugaoxingde
不公,bugong
不恭,bugong
不公开,bugongkai
不公开的会议,bugongkaidihuiyi
不公平,bugongping
不公平竞争,bugongpingjingzheng
不公正,bugongzheng
不公正行为,bugongzhengxingwei
不苟,bugou
不够,bugou
不够好,bugouhao
不够理想,bugoulixiang
不够用,bugouyong
不够资格,bugouzige
不辜负,bugufu
不顾,bugu
不顾反对,bugufandui
不顾一切,buguyiqie
不顾自己,buguziji
不关痛痒,buguantongyang
不关心,buguanxin
不关心政治,buguanxinzhengzhi
不管,buguan
不管部大臣,buguanbudachen
不管三七二十一,buguansanqiershiyi
不管是谁,buguanshishei
不管怎样,buguanzenyang
不惯,buguan
不光,buguang
不光彩,buguangcai
不规则,buguize
不规则的事物,buguizedeshiwu
不规则星系,buguizexingxi
不轨,bugui
不过,buguo
不过意,buguoyi
不害怕,buhaipa
不害臊,buhaisao
不害羞,buhaixiu
不寒而栗,buhanerli
不含糊,buhanhu
不含酒精,buhanjiujing
不含时,buhanshi
不含糖,buhantang
不好,buhao
不好不坏,buhaobuhuai
不好吃,buhaochi
不好的表演,buhaodebiaoyan
不好的行为,buhaodexingwei
不好管理,buhaoguanli
不好接近,buhaojiejin
不好客,buhaoke
不好玩,buhaowan
不好意思,buhaoyisi
不合,buhe
不和,buhe
不合常规,buhechanggui
不合法,buhefa
不合法的收入,buhefadeshouru
不合格,buhege
不合格折贴,buhegeshetie
不合规矩,buheguiju
不合规则,buheguize
不合理,buheli
不合理地,buhelide
不合伦理,buhelunli
不合逻辑,buheluoji
不和气,buheqi
不合群,buhequn
不合时宜,buheshiyi
不合适,buheshi
不和谐,buhexie
不和谐解决模型,buhexiejiejuemoxing
不合宜,buheyi
不合意,buheyi
不和悦的样子,buheyuedeyangzi
不合作,buhezuo
不合作运动,buhezuoyundong
不怀好意,buhuaihaoyi
不慌不忙,buhuangbumang
不灰心,buhuixin
不会,buhui
不讳,buhui
不会被发现,buhuibeifaxian
不会传染,buhuichuanran
不会发生,buhuifasheng
不会结束,buhuijieshu
不会受到伤害,buhuishoudaoshanghai
不会受伤害,buhuishoushanghai
不会说话,buhuishuohua
不会头晕,buhuitouyun
不会招致反对,buhuizhaozhifandui
不混溶性,buhunrongxing
不活动,buhuodong
不活泼状态,buhuopozhuangtai
不获利,buhuoli
不羁,buji
不及,buji
不嫉妒,bujidu
不及格,bujige
不吉利,bujili
不及物动词,bujiwudongci
不急躁,bujizao
不集中,bujizhong
不记得,bujide
不计利息,bujilixi
不记名投票,bujimingtoupiao
不计其数,bujiqishu
不计运费,bujiyunfei
不加粉饰,bujiafenshi
不加批判,bujiapipan
不加思索,bujiasisuo
不加选择,bujiaxuanze
不加掩饰,bujiayanshi
不加以批评,bujiayipiping
不加佐料,bujiazuoliao
不假思索地,bujiasisuode
不尖,bujian
不坚定,bujianding
不间断,bujianduan
不间断电源,bujianduandianyuan
不间断供电,bujianduangongdian
不兼容,bujianrong
不兼容性,bujianrongxing
不减,bujian
不简单,bujiandan
不检点,bujiandian
不见,bujian
不见不散,bujianbusan
不见得,bujiande
不见经传,bujianjingzhuan
不健康,bujiankang
不见了,bujianle
不健全,bujianquan
不健全状态,bujianquanzhuangtai
不讲理,bujiangli
不讲情面,bujiangqingmian
不交并,bujiaobing
不矫揉造作,bujiaorouzaozuo
不结实,bujieshi
不接受,bujieshou
不洁,bujie
不洁地,bujiede
不结果,bujieguo
不洁净,bujiejing
不结盟,bujiemeng
不结盟运动,bujiemengyundong
不节制,bujiezhi
不结子,bujiezi
不解,bujie
不介入,bujieru
不介意,bujieyi
不禁,bujin
不禁止,bujinzhi
不仅,bujin
不紧,bujin
不紧不慢,bujinbuman
不谨慎,bujinshen
不紧张,bujinzhang
不近人情,bujinrenqing
不尽义务,bujinyiwu
不进则退,bujinzetui
不尽职,bujinzhi
不精确,bujingque
不精细,bujingxi
不经心,bujingxin
不经意,bujingyi
不经之谈,bujingzhitan
不景气,bujingqi
不净,bujing
不敬,bujing
不胫而走,bujingerzou
不久,bujiu
不久以前,bujiuyiqian
不拘,buju
不拘礼节,bujulijie
不拘束,bujushu
不具体,bujuti
不倦,bujuan
不觉,bujue
不觉察,bujuecha
不均,bujun
不均衡,bujunheng
不均匀,bujunyun
不开心,bukaixin
不堪,bukan
不堪忍受,bukanrenshou
不堪入目,bukanrumu
不科学,bukexue
不可,buke
不可爱,bukeai
不可比性,bukebixing
不可避免,bukebimian
不可避免地,bukebimiande
不可辩护,bukebianhu
不可辩解,bukebianjie
不可辨认,bukebianren
不可变形,bukebianxing
不可测,bukece
不可撤销,bukechexiao
不可穿透,bukechuantou
不可动摇,bukedongyao
不可读,bukedu
不可多得,bukeduode
不可废止,bukefeizhi
不可分,bukefen
不可分辨性,bukefenbianxing
不可分的东西,bukefendedongxi
不可分割,bukefenge
不可分解,bukefenjie
不可分离,bukefenli
不可否认,bukefouren
不可改变,bukegaibian
不可告人,bukegaoren
不可估计,bukeguji
不可估量,bukeguliang
不可毁灭,bukehuimie
不可毁性,bukehuixing
不可混合性,bukehunhexing
不可或缺,bukehuoque
不可解,bukejie
不可解决,bukejiejue
不可解释,bukejieshi
不可进入,bukejinru
不可救药,bukejiuyao
不可觉察,bukejuecha
不可开交,bukekaijiao
不可抗拒,bukekangju
不可抗力,bukekangli
不可靠,bukekao
不可靠的人,bukekaoderen
不可靠性,bukekaoxing
不可克服,bukekefu
不可口,bukekou
不可宽恕,bukekuanshu
不可理解,bukelijie
不可理喻,bukeliyu
不可弥补,bukemibu
不可名状,bukemingzhuang
不可磨灭,bukemomie
不可能,bukeneng
不可能的事,bukenengdeshi
不可能检测出,bukenengjiancechu
不可逆,bukeni
不可逆反,bukenifan
不可逆转,bukenizhuan
不可偏离,bukepianli
不可破碎性,bukeposuixing
不可亲,bukeqin
不可侵犯权,bukeqinfanquan
不可清除的任务,bukeqingchuderenwu
不可区分性,bukequfenxing
不可取消,bukequxiao
不可缺少,bukequeshao
不可饶恕,bukeraoshu
不可忍受,bukerenshou
不可渗透,bukeshentou
不可胜数,bukeshengshu
不可使用,bukeshiyong
不可收拾,bukeshoushi
不可数集,bukeshuji
不可说服,bukeshuofu
不可思议,bukesiyi
不可思议地,bukesiyide
不可逃避,buketaobi
不可调和,buketiaohe
不可停顿,buketingdun
不可通约,buketongyue
不可挽回,bukewanhui
不可闻,bukewen
不可想象,bukexiangxiang
不可信,bukexin
不可信赖,bukexinlai
不可信任,bukexinren
不可行,bukexing
不可行性,bukexingxing
不可压缩性,bukeyasuoxing
不可言传,bukeyanchuan
不可用,bukeyong
不可逾越,bukeyuyue
不可预测,bukeyuce
不可预见,bukeyujian
不可预见费,bukeyujianfei
不可原谅,bukeyuanliang
不可战胜,bukezhansheng
不可知,bukezhi
不可知论,bukezhilun
不可知论者,bukezhilunzhe
不可转让,bukezhuanrang
不可捉摸,bukezhuomo
不可阻挡,bukezudang
不克,buke
不客气,bukeqi
不肯定,bukending
不快,bukuai
不快乐,bukuaile
不宽容,bukuanrong
不宽赦免,bukuanshemian
不愧,bukui
不扩散核武器条约,bukuosanhewuqitiaoyue
不来梅,bulaimei
不莱梅,bulaimei
不来梅的城市乐手,bulaimeidechengshileshou
不赖,bulai
不稂不莠,bulangbuyou
不劳而获,bulaoerhuo
不牢固,bulaogu
不牢靠,bulaokao
不老,bulao
不老练,bulaolian
不老实,bulaoshi
不老实的人,bulaoshideren
不了,bule
不乐意,buleyi
不冷不热,bulengbure
不离正道,bulizhengdao
不理,buli
不理会,bulihui
不理解,bulijie
不礼貌,bulimao
不理性,bulixing
不利,buli
不利情况,buliqingkuang
不利于健康,buliyujiankang
不连贯,bulianguan
不连续,bulianxu
不良,buliang
不良反应,buliangfanying
不良少年,buliangshaonian
不良习惯,buliangxiguan
不两立,buliangli
不亮,buliang
不谅解,buliangjie
不了,buliao
不了解,buliaojie
不列颠群岛,buliedianqundao
不灵,buling
不灵光,bulingguang
不灵活,bulinghuo
不灵敏,bulingmin
不灵敏度,bulingmindu
不灵敏性,bulingminxing
不灵巧,bulingqiao
不留痕迹,buliuhenji
不流泪,buliulei
不流行,buliuxing
不流血,buliuxue
不露声色,buloushengse
不漏水,buloushui
不露感情,buluganqing
不伦不类,bulunbulei
不伦瑞克,bulunruike
不论,bulun
不论好坏,bulunhaohuai
不满,buman
不满意,bumanyi
不满意的,bumanyidi
不满足,bumanzu
不毛,bumao
不毛之地,bumaozhidi
不迷失,bumishi
不迷失正路,bumishizhenglu
不眠,bumian
不免,bumian
不勉强,bumianqiang
不免一死,bumianyisi
不灭,bumie
不灭性,bumiexing
不民主,buminzhu
不敏感,bumingan
不敏感性,buminganxing
不明,buming
不明白,bumingbai
不明飞行物,bumingfeixingwu
不明了,bumingliao
不明潜水物,bumingqianshuiwu
不明确,bumingque
不名数,bumingshu
不明显,bumingxian
不名一文,bumingyiwen
不名誉,bumingyu
不名誉事物,bumingyushiwu
不明状况,bumingzhuangkuang
不抹灰泥的石墙,bumohuinideshiqiang
不谋而合,bumouerhe
不谋取私利,bumouqusili
不耐烦,bunaifan
不耐烦了,bunaifanliao
不能,buneng
不能比较,bunengbijiao
不能避免,bunengbimian
不能变,bunengbian
不能表达,bunengbiaoda
不能不,bunengbu
不能测量,bunengceliang
不能称,bunengcheng
不能承认,bunengchengren
不能持久,bunengchijiu
不能除尽,bunengchujin
不能触摸,bunengchumo
不能达到,bunengdadao
不能打动人,bunengdadongren
不能到达,bunengdaoda
不能得到,bunengdedao
不能抵抗,bunengdikang
不能遏止,bunengezhi
不能反驳之事,bunengfanbozhishi
不能防守,bunengfangshou
不能飞,bunengfei
不能废弃,bunengfeiqi
不能分,bunengfen
不能否定,bunengfouding
不能否认,bunengfouren
不能改变,bunenggaibian
不能根除,bunenggenchu
不能工作,bunenggongzuo
不能工作时间,bunenggongzuoshijian
不能贯穿,bunengguanchuan
不能喝,bunenghe
不能和解,bunenghejie
不能呼吸,bunenghuxi
不能活动,bunenghuodong
不能及,bunengji
不能接近,bunengjiejin
不能接受,bunengjieshou
不能结婚,bunengjiehun
不能解决,bunengjiejue
不能解决问题,bunengjiejuewenti
不能解释,bunengjieshi
不能决定,bunengjueding
不能克服,bunengkefu
不能控制,bunengkongzhi
不能理解,bunenglijie
不能利用,bunengliyong
不能满足,bunengmanzu
不能抹杀,bunengmosha
不能破坏,bunengpohuai
不能亲近,bunengqinjin
不能忍受,bunengrenshou
不能溶解,bunengrongjie
不能容忍,bunengrongren
不能容忍的,bunengrongrendi
不能生存,bunengshengcun
不能胜任,bunengshengren
不能实现,bunengshixian
不能实行,bunengshixing
不能适应,bunengshiying
不能收买,bunengshoumai
不能说服,bunengshuofu
不能说明,bunengshuoming
不能通过,bunengtongguo
不能通行,bunengtongxing
不能透过,bunengtouguo
不能挽回的事,bunengwanhuideshi
不能挽救,bunengwanjiu
不能维持,bunengweichi
不能无符号,bunengwufuhao
不能下定义,bunengxiadingyi
不能相信,bunengxiangxin
不能想像,bunengxiangxiang
不能消除,bunengxiaochu
不能消化,bunengxiaohua
不能许可的事,bunengxukedeshi
不能移动,bunengyidong
不能抑制,bunengyizhi
不能用,bunengyong
不能用语言表达,bunengyongyuyanbiaoda
不能允许,bunengyunxu
不能证实,bunengzhengshi
不能知道,bunengzhidao
不能自制,bunengzizhi
不怕,bupa
不抛弃,bupaoqi
不配合,bupeihe
不匹配,bupipei
不批准,bupizhun
不疲倦,bupijuan
不偏,bupian
不偏不倚,bupianbuyi
不漂亮,bupiaoliang
不平,buping
不平常,bupingchang
不平等,bupingdeng
不平等条约,bupingdengtiaoyue
不平凡,bupingfan
不平衡,bupingheng
不平均,bupingjun
不平坦,bupingtan
不齐,buqi
不歧视,buqishi
不齐线数字,buqixianshuzi
不起劲,buqijin
不起作用,buqizuoyong
不恰当,buqiadang
不恰当地使用,buqiadangdeshiyong
不谦虚,buqianxu
不虔诚,buqiancheng
不强制购买,buqiangzhigoumai
不巧,buqiao
不切实际,buqieshiji
不切题,buqieti
不亲切,buqinqie
不清偿,buqingchang
不清楚,buqingchu
不清洁,buqingjie
不清晰,buqingxi
不轻信,buqingxin
不情愿,buqingyuan
不情愿地,buqingyuande
不屈,buqu
不屈不挠,buqubunao
不屈服,buqufu
不屈曲性,buququxing
不去,buqu
不全面,buquanmian
不确定,buqueding
不确定性,buquedingxing
不确定性原理,buquedingxingyuanli
不确定者,buquedingzhe
不确切,buqueqie
不确实,buqueshi
不然,buran
不然的话,burandehua
不让步,burangbu
不仁,buren
不人道,burendao
不认识,burenshi
不认为是犯罪的,burenweishifanzuide
不认真,burenzhen
不容,burong
不溶解性,burongjiexing
不容忍,burongren
不容商讨,burongshangtao
不容易接近,burongyijiejin
不容争辩,burongzhengbian
不容置疑,burongzhiyi
不柔顺,buroushun
不如,buru
不三不四,busanbusi
不善,bushan
不善于交际,bushanyujiaoji
不上锁,bushangsuo
不上心,bushangxin
不少,bushao
不少于,bushaoyu
不舍,bushe
不设防,bushefang
不涉及本质,bushejibenzhi
不深入,bushenru
不神圣,bushensheng
不渗透性,bushentouxing
不慎重,bushenzhong
不胜,busheng
不声不响,bushengbuxiang
不生产,bushengchan
不胜其烦,bushengqifan
不圣洁,bushengjie
不胜任,bushengren
不时,bushi
不时地,bushide
不时髦,bushimao
不实用,bushiyong
不是,bushi
不适,bushi
不适当,bushidang
不适合出海,bushihechuhai
不适合航行,bushihehangxing
不是吗,bushima
不是味儿,bushiweier
不适宜,bushiyi
不适应,bushiying
不适应性,bushiyingxing
不适用,bushiyong
不是优秀,bushiyouxiu
不识字,bushizi
